number,name,url,types,height_cm,weight_kg,next_evolutions,abilities
979,Annihilape,https://pokemondb.net/pokedex/annihilape,"Fighting, Ghost",120.0 cm,56.0 kg,,"[{'name': 'Vital Spirit', 'desc': 'Prevents sleep.', 'effect': 'Vital Spirit prevents the ability-bearer from falling asleep. This means that it also prevents the use of the move Rest.', 'url': 'https://pokemondb.net/ability/vital-spirit'}, {'name': 'Inner Focus', 'desc': 'Prevents flinching.', 'effect': 'Inner Focus prevents the Pokémon from flinching, for example when attacked by a move like Headbutt.', 'url': 'https://pokemondb.net/ability/inner-focus'}, {'name': 'Defiant', 'desc': 'When its stats are lowered its Attack increases.', 'effect': ""Defiant raises the ability-bearer's Attack by two stages when hit by a stat-lowering move."", 'url': 'https://pokemondb.net/ability/defiant'}]"
980,Clodsire,https://pokemondb.net/pokedex/clodsire,"Poison, Ground",180.0 cm,223.0 kg,,"[{'name': 'Poison Point', 'desc': 'Poisons foe on contact.', 'effect': 'Contact with the Pokémon may poison the attacker.\n', 'url': 'https://pokemondb.net/ability/poison-point'}, {'name': 'Water Absorb', 'desc': 'Changes water into HP.', 'effect': 'A Pokémon with Water Absorb heals 1⁄4 of its maximum HP when hit by a Water-type attack.', 'url': 'https://pokemondb.net/ability/water-absorb'}, {'name': 'Unaware', 'desc': 'Ignores any change in ability by the foe.', 'effect': 'Ignores any stat changes in the Pokémon.\n', 'url': 'https://pokemondb.net/ability/unaware'}]"
981,Farigiraf,https://pokemondb.net/pokedex/farigiraf,"Normal, Psychic",320.0 cm,160.0 kg,,"[{'name': 'Cud Chew', 'desc': 'When the Pokémon eats a Berry, it will regurgitate that Berry at the end of the next turn and eat it one more time.', 'effect': 'Cud Chew causes the Pokémon to reuse an already consumed Berry at the end of the next turn.', 'url': 'https://pokemondb.net/ability/cud-chew'}, {'name': 'Armor Tail', 'desc': 'The mysterious tail covering the Pokémon’s head makes opponents unable to use priority moves against the Pokémon or its allies.', 'effect': 'Armor Tail prevents the opponent from using any moves that have priority, such as Quick Attack.', 'url': 'https://pokemondb.net/ability/armor-tail'}, {'name': 'Sap Sipper', 'desc': 'Boosts Attack when hit by a Grass-type move.', 'effect': 'Boosts Attack when hit by a Grass-type move.\n', 'url': 'https://pokemondb.net/ability/sap-sipper'}]"
982,Dudunsparce,https://pokemondb.net/pokedex/dudunsparce,Normal,360.0 cm,39.2 kg,,"[{'name': 'Serene Grace', 'desc': 'Promotes added effects.', 'effect': ""Serene Grace doubles the chance of moves' secondary effects occurring - specifically stat changes, status ailments, or flinching. It also increases the chance of flinching due to the held items King's Rock and Razor Fang from 10% to 20% (however, note that those items do not affect moves that already have a flinch chance)."", 'url': 'https://pokemondb.net/ability/serene-grace'}, {'name': 'Run Away', 'desc': 'Makes escaping easier.', 'effect': 'Run Away allows the bearer to flee a battle with a wild Pokémon without fail, even if the opposing Pokémon has used a move like Mean Look or Bind, or has an ability such as Arena Trap.', 'url': 'https://pokemondb.net/ability/run-away'}, {'name': 'Rattled', 'desc': 'Some move types scare it and boost its Speed.', 'effect': 'When a Pokémon with Rattled is hit by a Bug, Ghost or Dark type move, its Speed is raised one stage (up to the usual maximum of +6 stages).', 'url': 'https://pokemondb.net/ability/rattled'}]"
983,Kingambit,https://pokemondb.net/pokedex/kingambit,"Dark, Steel",200.0 cm,120.0 kg,,"[{'name': 'Defiant', 'desc': 'When its stats are lowered its Attack increases.', 'effect': ""Defiant raises the ability-bearer's Attack by two stages when hit by a stat-lowering move."", 'url': 'https://pokemondb.net/ability/defiant'}, {'name': 'Supreme Overlord', 'desc': 'When the Pokémon enters a battle, its Attack and Sp. Atk stats are slightly boosted for each of the allies in its party that have already been defeated.', 'effect': 'Attack and Special Attack are boosted for each party Pokémon that has been defeated.\n', 'url': 'https://pokemondb.net/ability/supreme-overlord'}, {'name': 'Pressure', 'desc': 'Raises foe’s PP usage.', 'effect': 'Pressure makes any attack targeted at the ability-bearer - regardless of whether it hits - use 2 PP instead of 1.', 'url': 'https://pokemondb.net/ability/pressure'}]"
984,Great Tusk,https://pokemondb.net/pokedex/great-tusk,"Ground, Fighting",220.0 cm,320.0 kg,,"[{'name': 'Protosynthesis', 'desc': 'Boosts the Pokémon’s most proficient stat in harsh sunlight or if the Pokémon is holding Booster Energy.', 'effect': 'Raises highest stat in harsh sunlight, or if holding Booster Energy.\n', 'url': 'https://pokemondb.net/ability/protosynthesis'}]"
985,Scream Tail,https://pokemondb.net/pokedex/scream-tail,"Fairy, Psychic",120.0 cm,8.0 kg,,"[{'name': 'Protosynthesis', 'desc': 'Boosts the Pokémon’s most proficient stat in harsh sunlight or if the Pokémon is holding Booster Energy.', 'effect': 'Raises highest stat in harsh sunlight, or if holding Booster Energy.\n', 'url': 'https://pokemondb.net/ability/protosynthesis'}]"
986,Brute Bonnet,https://pokemondb.net/pokedex/brute-bonnet,"Grass, Dark",120.0 cm,21.0 kg,,"[{'name': 'Protosynthesis', 'desc': 'Boosts the Pokémon’s most proficient stat in harsh sunlight or if the Pokémon is holding Booster Energy.', 'effect': 'Raises highest stat in harsh sunlight, or if holding Booster Energy.\n', 'url': 'https://pokemondb.net/ability/protosynthesis'}]"
987,Flutter Mane,https://pokemondb.net/pokedex/flutter-mane,"Ghost, Fairy",140.0 cm,4.0 kg,,"[{'name': 'Protosynthesis', 'desc': 'Boosts the Pokémon’s most proficient stat in harsh sunlight or if the Pokémon is holding Booster Energy.', 'effect': 'Raises highest stat in harsh sunlight, or if holding Booster Energy.\n', 'url': 'https://pokemondb.net/ability/protosynthesis'}]"
988,Slither Wing,https://pokemondb.net/pokedex/slither-wing,"Bug, Fighting",320.0 cm,92.0 kg,,"[{'name': 'Protosynthesis', 'desc': 'Boosts the Pokémon’s most proficient stat in harsh sunlight or if the Pokémon is holding Booster Energy.', 'effect': 'Raises highest stat in harsh sunlight, or if holding Booster Energy.\n', 'url': 'https://pokemondb.net/ability/protosynthesis'}]"
989,Sandy Shocks,https://pokemondb.net/pokedex/sandy-shocks,"Electric, Ground",230.0 cm,60.0 kg,,"[{'name': 'Protosynthesis', 'desc': 'Boosts the Pokémon’s most proficient stat in harsh sunlight or if the Pokémon is holding Booster Energy.', 'effect': 'Raises highest stat in harsh sunlight, or if holding Booster Energy.\n', 'url': 'https://pokemondb.net/ability/protosynthesis'}]"
990,Iron Treads,https://pokemondb.net/pokedex/iron-treads,"Ground, Steel",90.0 cm,240.0 kg,,"[{'name': 'Quark Drive', 'desc': 'Boosts the Pokémon’s most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy.', 'effect': 'Raises highest stat on Electric Terrain, or if holding Booster Energy.\n', 'url': 'https://pokemondb.net/ability/quark-drive'}]"
991,Iron Bundle,https://pokemondb.net/pokedex/iron-bundle,"Ice, Water",60.0 cm,11.0 kg,,"[{'name': 'Quark Drive', 'desc': 'Boosts the Pokémon’s most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy.', 'effect': 'Raises highest stat on Electric Terrain, or if holding Booster Energy.\n', 'url': 'https://pokemondb.net/ability/quark-drive'}]"
992,Iron Hands,https://pokemondb.net/pokedex/iron-hands,"Fighting, Electric",180.0 cm,380.7 kg,,"[{'name': 'Quark Drive', 'desc': 'Boosts the Pokémon’s most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy.', 'effect': 'Raises highest stat on Electric Terrain, or if holding Booster Energy.\n', 'url': 'https://pokemondb.net/ability/quark-drive'}]"
993,Iron Jugulis,https://pokemondb.net/pokedex/iron-jugulis,"Dark, Flying",130.0 cm,111.0 kg,,"[{'name': 'Quark Drive', 'desc': 'Boosts the Pokémon’s most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy.', 'effect': 'Raises highest stat on Electric Terrain, or if holding Booster Energy.\n', 'url': 'https://pokemondb.net/ability/quark-drive'}]"
994,Iron Moth,https://pokemondb.net/pokedex/iron-moth,"Fire, Poison",120.0 cm,36.0 kg,,"[{'name': 'Quark Drive', 'desc': 'Boosts the Pokémon’s most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy.', 'effect': 'Raises highest stat on Electric Terrain, or if holding Booster Energy.\n', 'url': 'https://pokemondb.net/ability/quark-drive'}]"
995,Iron Thorns,https://pokemondb.net/pokedex/iron-thorns,"Rock, Electric",160.0 cm,303.0 kg,,"[{'name': 'Quark Drive', 'desc': 'Boosts the Pokémon’s most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy.', 'effect': 'Raises highest stat on Electric Terrain, or if holding Booster Energy.\n', 'url': 'https://pokemondb.net/ability/quark-drive'}]"
996,Frigibax,https://pokemondb.net/pokedex/frigibax,"Dragon, Ice",50.0 cm,17.0 kg,##0997 - Arctibax - https://pokemondb.net/pokedex/arctibax; ##0998 - Baxcalibur - https://pokemondb.net/pokedex/baxcalibur,"[{'name': 'Thermal Exchange', 'desc': 'Boosts the Attack stat when the Pokémon is hit by a Fire-type move. The Pokémon also cannot be burned.', 'effect': 'Raises Attack when hit by a Fire-type move. Cannot be burned.\n', 'url': 'https://pokemondb.net/ability/thermal-exchange'}, {'name': 'Ice Body', 'desc': 'The Pokémon regains HP in a hailstorm.', 'effect': 'A Pokémon with Ice Body will recover 1⁄16 of its maximum HP during hail, after each turn. It also grants immunity to the hailstorm damage, if not already immune.', 'url': 'https://pokemondb.net/ability/ice-body'}]"
997,Arctibax,https://pokemondb.net/pokedex/arctibax,"Dragon, Ice",80.0 cm,30.0 kg,##0998 - Baxcalibur - https://pokemondb.net/pokedex/baxcalibur,"[{'name': 'Thermal Exchange', 'desc': 'Boosts the Attack stat when the Pokémon is hit by a Fire-type move. The Pokémon also cannot be burned.', 'effect': 'Raises Attack when hit by a Fire-type move. Cannot be burned.\n', 'url': 'https://pokemondb.net/ability/thermal-exchange'}, {'name': 'Ice Body', 'desc': 'The Pokémon regains HP in a hailstorm.', 'effect': 'A Pokémon with Ice Body will recover 1⁄16 of its maximum HP during hail, after each turn. It also grants immunity to the hailstorm damage, if not already immune.', 'url': 'https://pokemondb.net/ability/ice-body'}]"
998,Baxcalibur,https://pokemondb.net/pokedex/baxcalibur,"Dragon, Ice",210.0 cm,210.0 kg,,"[{'name': 'Thermal Exchange', 'desc': 'Boosts the Attack stat when the Pokémon is hit by a Fire-type move. The Pokémon also cannot be burned.', 'effect': 'Raises Attack when hit by a Fire-type move. Cannot be burned.\n', 'url': 'https://pokemondb.net/ability/thermal-exchange'}, {'name': 'Ice Body', 'desc': 'The Pokémon regains HP in a hailstorm.', 'effect': 'A Pokémon with Ice Body will recover 1⁄16 of its maximum HP during hail, after each turn. It also grants immunity to the hailstorm damage, if not already immune.', 'url': 'https://pokemondb.net/ability/ice-body'}]"
999,Gimmighoul,https://pokemondb.net/pokedex/gimmighoul,Ghost,30.0 cm,5.0 kg,##1000 - Gholdengo - https://pokemondb.net/pokedex/gholdengo,"[{'name': 'Rattled', 'desc': 'Some move types scare it and boost its Speed.', 'effect': 'When a Pokémon with Rattled is hit by a Bug, Ghost or Dark type move, its Speed is raised one stage (up to the usual maximum of +6 stages).', 'url': 'https://pokemondb.net/ability/rattled'}, {'name': 'Run Away', 'desc': 'Makes escaping easier.', 'effect': 'Run Away allows the bearer to flee a battle with a wild Pokémon without fail, even if the opposing Pokémon has used a move like Mean Look or Bind, or has an ability such as Arena Trap.', 'url': 'https://pokemondb.net/ability/run-away'}]"
1000,Gholdengo,https://pokemondb.net/pokedex/gholdengo,"Steel, Ghost",120.0 cm,30.0 kg,,"[{'name': 'Good as Gold', 'desc': 'A body of pure, solid gold gives the Pokémon full immunity to other Pokémon’s status moves.', 'effect': 'Gives immunity to status moves.\n', 'url': 'https://pokemondb.net/ability/good-as-gold'}]"
1001,Wo-Chien,https://pokemondb.net/pokedex/wo-chien,"Dark, Grass",150.0 cm,74.2 kg,,"[{'name': 'Tablets of Ruin', 'desc': 'The power of the Pokémon’s ruinous wooden tablets lowers the Attack stats of all Pokémon except itself.', 'effect': 'Lowers Attack of all Pokémon except itself.\n', 'url': 'https://pokemondb.net/ability/tablets-of-ruin'}]"
1002,Chien-Pao,https://pokemondb.net/pokedex/chien-pao,"Dark, Ice",190.0 cm,152.2 kg,,"[{'name': 'Sword of Ruin', 'desc': 'The power of the Pokémon’s ruinous sword lowers the Defense stats of all Pokémon except itself.', 'effect': 'Lowers Defense of all Pokémon except itself.\n', 'url': 'https://pokemondb.net/ability/sword-of-ruin'}]"
1003,Ting-Lu,https://pokemondb.net/pokedex/ting-lu,"Dark, Ground",270.0 cm,699.7 kg,,"[{'name': 'Vessel of Ruin', 'desc': 'The power of the Pokémon’s ruinous vessel lowers the Sp. Atk stats of all Pokémon except itself.', 'effect': 'Lowers Special Attack of all Pokémon except itself.\n', 'url': 'https://pokemondb.net/ability/vessel-of-ruin'}]"
1004,Chi-Yu,https://pokemondb.net/pokedex/chi-yu,"Dark, Fire",40.0 cm,4.9 kg,,"[{'name': 'Beads of Ruin', 'desc': 'The power of the Pokémon’s ruinous beads lowers the Sp. Def stats of all Pokémon except itself.', 'effect': 'Lowers Special Defense of all Pokémon except itself.\n', 'url': 'https://pokemondb.net/ability/beads-of-ruin'}]"
1005,Roaring Moon,https://pokemondb.net/pokedex/roaring-moon,"Dragon, Dark",200.0 cm,380.0 kg,,"[{'name': 'Protosynthesis', 'desc': 'Boosts the Pokémon’s most proficient stat in harsh sunlight or if the Pokémon is holding Booster Energy.', 'effect': 'Raises highest stat in harsh sunlight, or if holding Booster Energy.\n', 'url': 'https://pokemondb.net/ability/protosynthesis'}]"
1006,Iron Valiant,https://pokemondb.net/pokedex/iron-valiant,"Fairy, Fighting",140.0 cm,35.0 kg,,"[{'name': 'Quark Drive', 'desc': 'Boosts the Pokémon’s most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy.', 'effect': 'Raises highest stat on Electric Terrain, or if holding Booster Energy.\n', 'url': 'https://pokemondb.net/ability/quark-drive'}]"
1007,Koraidon,https://pokemondb.net/pokedex/koraidon,"Fighting, Dragon",250.0 cm,303.0 kg,,"[{'name': 'Orichalcum Pulse', 'desc': 'Turns the sunlight harsh when the Pokémon enters a battle. The ancient pulse thrumming through the Pokémon also boosts its Attack stat in harsh sunlight.', 'effect': 'Turns the sunlight harsh when entering battle, and boosts Attack while active.\n', 'url': 'https://pokemondb.net/ability/orichalcum-pulse'}]"
1008,Miraidon,https://pokemondb.net/pokedex/miraidon,"Electric, Dragon",350.0 cm,240.0 kg,,"[{'name': 'Hadron Engine', 'desc': 'Turns the ground into Electric Terrain when the Pokémon enters a battle. The futuristic engine within the Pokémon also boosts its Sp. Atk stat on Electric Terrain.', 'effect': 'Creates an Electric Terrain when entering battle, and boosts Special Attack while active.\n', 'url': 'https://pokemondb.net/ability/hadron-engine'}]"
1009,Walking Wake,https://pokemondb.net/pokedex/walking-wake,"Water, Dragon",350.0 cm,280.0 kg,,"[{'name': 'Protosynthesis', 'desc': 'Boosts the Pokémon’s most proficient stat in harsh sunlight or if the Pokémon is holding Booster Energy.', 'effect': 'Raises highest stat in harsh sunlight, or if holding Booster Energy.\n', 'url': 'https://pokemondb.net/ability/protosynthesis'}]"
